employee_id,action,question_id,answer_id,timestamp
1,answer,1,201,1532227800
1,skip,2,202,1531227800
1,answer,3,203,1531542400
1,view,4,204,1531942400
1,skip,5,205,1531001100
1,answer,6,206,1532227800
1,view,7,207,1531227800
1,skip,8,208,1531542400
1,answer,9,209,1531942400
1,view,10,210,1531001100
2,view,1,211,1531066660
2,answer,2,212,1530892780
2,skip,3,213,1530718900
2,answer,4,214,1530545020
2,view,5,215,1530371140
2,answer,6,216,1530197260
2,answer,7,217,1530023380
2,view,8,218,1529849500
2,answer,9,219,1529675620
2,skip,10,220,1529501740
3,answer,1,221,1529327860
3,view,2,222,1529153980
3,skip,3,223,1528980100
3,answer,4,224,1528806220
3,view,5,225,1528632340
3,skip,6,226,1528458460
3,answer,7,227,1528284580
3,skip,8,228,1528110700
3,view,9,229,1527936820
3,answer,10,230,1527762940
4,skip,1,231,1527589060
4,answer,2,232,1527415180
4,view,3,233,1527241300
4,answer,4,234,1527067420
4,skip,5,235,1526893540
4,answer,6,236,1526719660
4,skip,7,237,1526545780
4,skip,8,238,1526371900
4,answer,9,239,1526198020
4,answer,10,240,1526024140
5,skip,1,241,1525850260
5,view,2,242,1525676380
5,skip,3,243,1525502500
5,answer,4,244,1525328620
5,answer,5,245,1525154740
5,answer,6,246,1524980860
5,view,7,247,1524806980
5,answer,8,248,1524633100
5,view,9,249,1524459220
5,skip,10,250,1524285340