order_id,channel,date,month,revenue
1,online,43344,9,100
2,online,43346,9,125
3,in_store,43384,10,200
4,in_store,43333,8,80
5,online,43325,8,200
6,online,43331.1,1,151
7,online,43326,8,49
8,in_store,43320.9,12,181
9,in_store,43315.8,5,248
10,online,43310.7,5,85
11,online,43305.6,10,210
12,online,43300.5,2,66
13,online,43295.4,8,56
14,online,43290.3,12,2
15,in_store,43285.2,12,24
16,in_store,43280.1,5,55
17,online,43275,3,81
18,online,43269.9,12,134
19,online,43264.8,12,76
20,in_store,43259.7,8,10
21,in_store,43254.6,6,84
22,online,43249.5,12,154
23,online,43244.4,4,19
24,online,43239.3,8,158
25,online,43234.2,1,140
26,in_store,43229.1,6,245
27,in_store,43224,8,234
28,online,43218.9,9,145
29,online,43213.8,10,136
30,online,43208.7,6,115
31,in_store,43203.6,4,147
32,in_store,43198.5,9,106
33,online,43193.4,9,83
34,online,43188.3,11,228
35,online,43183.2,7,52
36,online,43178.1,11,240
37,online,43173,12,150
38,online,43167.9,6,14
39,online,43162.8,4,146
40,in_store,43157.7,12,171
41,in_store,43152.6,3,87
42,online,43147.5,7,234
43,online,43142.4,12,142
44,online,43137.3,1,232
45,in_store,43132.2,12,41
46,in_store,43127.1,12,73
47,online,43122,12,35
48,online,43116.9,9,14
49,online,43111.8,5,154
50,online,43106.7,9,97
51,online,43101.6,8,64
52,in_store,43096.5,9,106
53,in_store,43091.4,12,250
54,online,43086.3,5,128
55,online,43081.2,3,219
56,online,43076.1,12,117
57,in_store,43071,1,85
58,in_store,43065.9,10,57
59,online,43060.8,12,165
60,online,43055.7,10,83
61,online,43050.6,7,188
62,online,43045.5,2,248
63,in_store,43040.4,4,114
64,in_store,43035.3,10,241
65,online,43030.2,2,26
66,online,43025.1,6,134
67,online,43020,8,17
68,in_store,43014.9,9,129
69,in_store,43009.8,3,122
70,online,43004.7,5,138
71,online,42999.6,1,168
72,online,42994.5,8,42
73,online,42989.4,8,40
74,online,42984.3,11,5
75,online,42979.2,1,11
76,online,42974.1,10,48
77,in_store,42969,3,122
78,in_store,42963.9,12,84
79,online,42958.8,8,225
80,online,42953.7,10,56
81,online,42948.6,3,223
82,in_store,42943.5,5,23
83,in_store,42938.4,1,180
84,online,42933.3,3,45
85,online,42928.2,1,244
86,online,42923.1,11,231
87,online,42918,10,233
88,online,42912.9,8,58
89,in_store,42907.8,11,202
90,in_store,42902.7,1,102
91,online,42897.6,4,178
92,online,42892.5,9,148
93,online,42887.4,5,194
94,in_store,42882.3,6,83
95,in_store,42877.2,2,110
96,online,42872.1,9,118
97,online,42867,12,160
98,online,42861.9,5,3
99,online,42856.8,9,139
100,in_store,42851.7,6,247